tarix,year,month,ym,gdp,gdp_def,ngdp,rgdp,rngdp,cap_invest,nominc,nomsal,budrev,budrev/gdp,budexp,budexp/gdp,buddef,buddef/gdp,neer,nneer,reer,nreer,cr_port,vkk,vkk_rate,cpi_change,cpi_chg_+1,cpi_cumul,usdazn,brent_oil_price
2010-01-31 00:00:00,2010,1,20101,3212,140.4,1147.5,2287.749288,817.3076923,401.3,1526.9,296.9,973,30.3,320.4,10,652.6,20.3,99.2,119.2,117.4,109.7,8431.2,331.4,,0.5,1.005,1.005,,76.16736842
2010-02-28 00:00:00,2010,2,20102,2916,137.9,1088.9,2114.57578,789.6301668,675.4,1674.1,298.2,659.3,26.6,761.2,17.7,-101.9,9,102.4,121.2,121.9,111.8,8343.5,358.4,0.042955594,1.1,1.011,1.016055,,73.75210526
2010-03-31 00:00:00,2010,3,20103,3423.6,134.3,1376.8,2549.218168,1025.167535,560.1,1982.8,304,813.9,25.6,897.5,20.7,-83.6,4.9,102.2,120.6,122.4,111.9,8485.2,355.9,0.041943619,1.3,1.013,1.029263715,,78.8273913
2010-04-30 00:00:00,2010,4,20104,3433.3,130.7,1318.5,2626.855394,1008.798776,654.5,2136.2,309.8,786.4,24.9,800.8,21.4,-14.4,3.5,102.6,120.1,122.6,111.2,8605.5,365.2,0.042437976,0,1,1.029263715,,84.81761905
2010-05-31 00:00:00,2010,5,20105,3549,129.7,1460.7,2736.314572,1126.214341,730,2083.1,313.9,863.6,24.8,779.2,21.5,84.4,3.2,107.1,124,127.5,114.4,8733.5,383.6,0.043922826,-0.2,0.998,1.027205188,,75.9455
2010-06-30 00:00:00,2010,6,20106,3146.1,125.2,1472.6,2512.859425,1176.198083,745.6,2080.6,315.2,826.5,25,717.6,21.7,108.9,3.3,109.3,126.1,129.4,115.6,8840.7,408.6,0.04621806,-0.6,0.994,1.021041956,,74.76090909
2010-07-31 00:00:00,2010,7,20107,3474.7,120.3,1809.1,2888.362427,1503.823774,800.5,2120.3,316.3,811.5,24.8,967.4,22.6,-155.9,2.1,106.3,123.6,125.7,113.1,8656.2,400,0.046209653,-0.2,0.998,1.018999873,,75.58
2010-08-31 00:00:00,2010,8,20108,3034.9,116.8,1290.8,2598.373288,1105.136986,650.7,2228.8,317.4,974.7,25.6,800.4,23.1,174.3,2.5,105.2,122.4,124.8,112.2,8788.6,423.7,0.048210181,0.7,1.007,1.026132872,,77.03954545
2010-09-30 00:00:00,2010,9,20109,3118.4,115.6,1429.9,2697.577855,1236.937716,939.7,2146.4,319.1,795.6,25.6,792.1,23.3,3.5,2.3,104.7,122.7,124.8,112.5,8936.6,448.5,0.050186872,0.9,1.009,1.035368067,,77.84047619
2010-10-31 00:00:00,2010,10,201010,3191.5,113.9,1337.6,2802.019315,1174.363477,900,2311,320,913.8,25.9,807.2,23.5,106.6,2.4,100.7,119.8,120.5,110,9065.2,454,0.050081631,0.9,1.009,1.04468638,,96.5235
2010-11-30 00:00:00,2010,11,201011,4075.9,113.8,1774.5,3581.634446,1559.314587,646.7,2388.2,321.2,773.7,25.1,777.2,23,-3.5,2.1,101.8,121.3,123.8,112.8,9091.7,458.1,0.050386616,1.8,1.018,1.063490735,,103.7163158
